               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.027736,            0.028502,           0.0044792,              0.8256,             0.64254,             0.73605,             0.41299,            0.030049,            0.033705,            0.010419,           0.0046796,           0.0046796,             0.02288
                  63,            0.027984,            0.021852,           0.0035024,             0.79109,             0.67422,             0.74117,              0.4143,            0.029605,            0.033642,           0.0099706,           0.0046623,           0.0046623,            0.021562
                  64,            0.026886,            0.022164,           0.0023218,             0.79109,             0.67422,             0.74117,              0.4143,            0.029605,            0.033644,           0.0099706,            0.004642,            0.004642,            0.020242
                  65,            0.030072,            0.032393,           0.0041941,             0.80265,             0.66808,             0.74159,             0.41196,            0.030089,             0.03366,           0.0097915,           0.0046189,           0.0046189,            0.018919
                  66,            0.028794,            0.025333,           0.0037487,             0.80957,             0.66296,             0.74164,             0.41531,            0.029574,            0.033761,           0.0099752,           0.0045929,           0.0045929,            0.017593
                  67,            0.025596,            0.028195,           0.0037134,             0.80957,             0.66296,             0.74164,             0.41531,            0.029574,            0.033758,           0.0099752,           0.0045642,           0.0045642,            0.016264
                  68,            0.028807,            0.025878,           0.0030842,             0.81755,             0.65143,             0.73967,             0.41451,            0.029635,            0.033805,             0.01027,           0.0045328,           0.0045328,            0.014933
                  69,            0.026608,            0.018703,           0.0025504,             0.80072,              0.6604,             0.73837,             0.41292,            0.029481,            0.033889,            0.010365,           0.0044988,           0.0044988,            0.013599
                  70,             0.02788,             0.02628,           0.0038298,             0.80072,              0.6604,             0.73837,             0.41292,            0.029481,            0.033887,            0.010365,           0.0044622,           0.0044622,            0.012262
                  71,            0.029079,            0.026436,           0.0050778,             0.80429,             0.65826,             0.73811,             0.41363,            0.029698,            0.033912,            0.010539,           0.0044232,           0.0044232,            0.010923
                  72,            0.027373,            0.024468,           0.0037047,             0.78654,             0.66536,             0.73506,              0.4138,            0.029326,            0.033768,            0.010525,           0.0043817,           0.0043817,           0.0095817
                  73,             0.02329,            0.027171,           0.0032367,             0.78654,             0.66536,             0.73506,              0.4138,            0.029326,            0.033766,            0.010525,            0.004338,            0.004338,            0.008238
                  74,            0.026205,            0.032515,           0.0035412,             0.76618,              0.6711,             0.73391,             0.41108,            0.029556,            0.033906,            0.010532,            0.004292,            0.004292,            0.006892
                  75,             0.02575,            0.028702,           0.0040534,             0.78607,             0.66429,             0.73388,             0.41376,            0.029209,            0.034007,             0.01041,           0.0042439,           0.0042439,           0.0055439
                  76,            0.024767,            0.029255,           0.0036596,             0.78607,             0.66429,             0.73388,             0.41376,            0.029209,            0.034009,             0.01041,           0.0041937,           0.0041937,           0.0041937
                  77,            0.024719,            0.019899,           0.0034308,             0.79342,             0.66452,             0.73576,              0.4135,            0.029404,            0.034185,            0.010415,           0.0041937,           0.0041937,           0.0041937
                  78,            0.027744,            0.026039,           0.0036868,             0.79342,             0.66452,             0.73576,              0.4135,            0.029404,            0.034185,            0.010415,           0.0040884,           0.0040884,           0.0040884
                  79,            0.024481,            0.028666,           0.0027204,             0.79764,             0.67238,             0.73738,             0.41564,            0.029505,            0.034261,             0.01022,            0.003984,            0.003984,            0.003984
                  80,            0.026485,            0.024522,           0.0045898,             0.83737,             0.65384,             0.73897,             0.41888,            0.029395,            0.034004,            0.010195,           0.0038805,           0.0038805,           0.0038805
                  81,            0.024952,            0.026667,           0.0020323,             0.83737,             0.65384,             0.73897,             0.41888,            0.029395,            0.034003,            0.010195,           0.0037779,           0.0037779,           0.0037779
                  82,            0.026381,             0.02323,           0.0026895,             0.79075,             0.68038,             0.74024,             0.42465,            0.029206,            0.033912,            0.010044,           0.0036764,           0.0036764,           0.0036764
                  83,            0.023884,            0.025178,            0.003051,             0.81023,             0.67315,             0.74178,             0.43023,            0.028878,            0.033691,            0.010065,            0.003576,            0.003576,            0.003576
                  84,             0.02651,            0.022167,           0.0037969,             0.81023,             0.67315,             0.74178,             0.43023,            0.028878,            0.033692,            0.010065,           0.0034767,           0.0034767,           0.0034767
                  85,            0.027943,            0.023777,           0.0026851,             0.83535,             0.66466,             0.74372,             0.43291,            0.028933,            0.033617,           0.0099204,           0.0033787,           0.0033787,           0.0033787
